hipps_code,hhrg_weight
3CHPV,1.4987
3CHPW,1.4987
3CHPX,1.4987
4AFKS,1.2407
4AFKT,1.2407
4AFKU,1.2407
4AFKV,1.2407
4AFKW,1.2407
4AFKX,1.2407
4AFLS,1.4312
4AFLT,1.4312
4AFLU,1.4312
4AFLV,1.4312
4AFLW,1.4312
4AFLX,1.4312
4AFMS,1.6217
4AFMT,1.6217
4AFMU,1.6217
4AFMV,1.6217
4AFMW,1.6217
4AFMX,1.6217
4AGKS,1.2500
4AGKT,1.2500
4AGKU,1.2500
4AGKV,1.2500
4AGKW,1.2500
4AGKX,1.2500
4AGLS,1.4544
4AGLT,1.4544
4AGLU,1.4544
4AGLV,1.4544
4AGLW,1.4544
4AGLX,1.4544
4AGMS,1.6587
4AGMT,1.6587
4AGMU,1.6587
4AGMV,1.6587
4AGMW,1.6587
4AGMX,1.6587
4AHKS,1.3730
4AHKT,1.3730
4AHKU,1.3730
4AHKV,1.3730
4AHKW,1.3730
4AHKX,1.3730
4AHLS,1.5635
4AHLT,1.5635
4AHLU,1.5635
4AHLV,1.5635
4AHLW,1.5635
4AHLX,1.5635
4AHMS,1.7541
4AHMT,1.7541
4AHMU,1.7541
4AHMV,1.7541
4AHMW,1.7541
4AHMX,1.7541
4BFKS,1.3772
4BFKT,1.3772
4BFKU,1.3772
4BFKV,1.3772
4BFKW,1.3772
4BFKX,1.3772
4BFLS,1.5584
4BFLT,1.5584
4BFLU,1.5584
4BFLV,1.5584
4BFLW,1.5584
4BFLX,1.5584
4BFMS,1.7396
4BFMT,1.7396
4BFMU,1.7396
4BFMV,1.7396
4BFMW,1.7396
4BFMX,1.7396
4BGKS,1.3865
4BGKT,1.3865
4BGKU,1.3865
4BGKV,1.3865
4BGKW,1.3865
4BGKX,1.3865
4BGLS,1.5815
4BGLT,1.5815
4BGLU,1.5815
4BGLV,1.5815
4BGLW,1.5815
4BGLX,1.5815
4BGMS,1.7766
4BGMT,1.7766
4BGMU,1.7766
4BGMV,1.7766
4BGMW,1.7766
4BGMX,1.7766
4BHKS,1.5095
4BHKT,1.5095
4BHKU,1.5095
4BHKV,1.5095
4BHKW,1.5095
4BHKX,1.5095
4BHLS,1.6907
4BHLT,1.6907
4BHLU,1.6907
4BHLV,1.6907
4BHLW,1.6907
4BHLX,1.6907
4BHMS,1.8720
4BHMT,1.8720
4BHMU,1.8720
4BHMV,1.8720
4BHMW,1.8720
4BHMX,1.8720
4CFKS,1.5480
4CFKT,1.5480
4CFKU,1.5480
4CFKV,1.5480
4CFKW,1.5480
4CFKX,1.5480
4CFLS,1.7529
4CFLT,1.7529
4CFLU,1.7529
4CFLV,1.7529
4CFLW,1.7529
4CFLX,1.7529
4CFMS,1.9578
4CFMT,1.9578
4CFMU,1.9578
